"#TYPE","Swadesh_number","ENG","FRN","GER","ITN","SPN","DUT","ESP","SWD","LTN"
"verb","112","hunt","chasser","jagen","cacciare","cazar","jagen","casi","jaga","venari"
"verb","113","hit","frapper","schlagen","colpire","golpear","raken","trafi","slå","pellere"
"verb","114","cut","couper","schneiden","tagliare","cortar","knippen,snijden","tondi","skära","secare"
"verb","115","split","fendre","spalten","dividere,separare","partir","splijten","fendi","dela,klyva","scindere,partiri"
"verb","116","stab","poignarder","stechen","pugnalare","apuñalar","steken","piki","sticka","traicere"
"verb","117","scratch","gratter","kratzen","graffiare","arañar,rascar","krabben","grati","klia","radere"
"verb","118","dig","creuser","graben","scavare","cavar","graven","fosi","gräva","fodere"
"verb","119","swim","nager","schwimmen","nuotare","nadar","zwemmen","nagi","simma","natare"
"verb","120","fly","voler","fliegen","volare","volar","vliegen","flugi","flyga","volare"
"verb","121","walk","marcher","gehen","camminare","caminar","lopen,stappen","piediri","gå","gradi"
"verb","122","come","venir","kommen","venire","venir","komen","veni","komma","venire"
"verb","123","lie","s'étendre","liegen","distendersi","echarse","liggen","kusi","ligga","iacere"
"verb","124","sit","s'asseoir","sitzen","sedere","sentarse","zitten","sidi","sitta","sedere"
"verb","125","stand","se lever","stehen","stare in piedi","estar de pie","staan","stari","stå","stare"
"verb","126","turn","tourner","drehen","girare","voltear","draaien","turnigi","svänga","vertere"
"verb","127","fall","tomber","fallen","cadere","caer","vallen","fali","falla","cadere"
"verb","128","give","donner","geben","dare","dar","geven","doni","ge","dare"
"verb","129","hold","tenir","halten","tenere","sostener","houden","teni","hålla","tenere"
"verb","130","squeeze","serrer","quetschen","spremere","apretar","knijpen","pinci","klämma","premere"
"verb","131","rub","frotter","reiben","strofinare","frotar","wrijven","froti","gnida","fricare"
"verb","132","wash","laver","waschen","lavare","lavar","wassen","lavi","tvätta","lavare"
"verb","133","wipe","essuyer","wischen","asciugare","limpiar","vegen","balai","rensa","tergere"
"verb","134","pull","tirer","ziehen","tirare","tirar","trekken","tiri","dra","trahere"
"verb","135","push","pousser","drücken","spingere","empujar","duwen","pusi","trycka","pellere,urgere"
"verb","136","throw","jeter","werfen","tirare","tirar","werpen,gooien","jeti","kasta","iacere"
"verb","137","tie","lier","binden","legare","atar","knopen","nodi,nodligi","knyta,binda","stringere,ligare"
"verb","138","sew","coudre","nähen","cucire","coser","naaien","kudri","sy","suere"
"verb","139","count","compter","zählen","contare","contar","tellen","nombri","räkna","numerare"
"verb","140","say","dire","sagen","dire","decir","zeggen","diri","säga","dicere"
"verb","141","sing","chanter","singen","cantare","cantar","zingen","kanti","sjunga","canere"
"verb","142","play","jouer","spielen","giocare","jugar","spelen","ludi","leka,spela","ludere"
"verb","143","float","flotter","schweben","galleggiare","flotar","zweven","svebi","flyta","fluctuare"
"verb","144","flow","couler","fließen","fluire","fluir","vloeien","flui","rinna","fluere"
"verb","145","freeze","geler","frieren","gelare","helar","vriezen","frosti","frysa","gelare"
"verb","146","swell","gonfler","schwellen","gonfiare","hincharse","zwellen","sveli","svälla","inflare"
"noun","147","sun","soleil","Sonne","sole","sol","zon","suno","sol","sol"
"noun","148","moon","lune","Mond","luna","luna","maan","luno","måne","luna"
"noun","149","star","étoile","Stern","stella","estrella","ster","stelo","stjärna","stella"
"noun","150","water","eau","Wasser","acqua","agua","water","akvo","vatten","aqua"
"noun","151","rain","pluie","Regen","pioggia","lluvia","regen","pluvi","regn","pluvia"
"noun","152","river","rivière","Fluß","fiume","río","rivier","rivero","flod","fluvius"
"noun","153","lake","lac","See","lago","lago","meer","lago","sjö","lacus"
"noun","154","sea","mer","Meer,See","mare","mar","zee","maro","hav","mare"
"noun","155","salt","sel","Salz","sale","sal","zout","salo","salt","sal"
"noun","156","stone","pierre","Stein","pietra","piedra","steen","stono","sten","lapis,petra"
"noun","157","sand","sable","Sand","sabbia","arena","zand","sablo","sand","arena"
"noun","158","dust","poussière","Staub","polvere","polvo","stof","polvo","damm","pulvis"
"noun","159","earth","terre","Erde","terra","tierra","aarde","tero","jord","terra"
"noun","160","cloud","nuage","Wolke","nuvola","nube","wolk","nubo","moln","nimbus,nubes"
"noun","161","fog","brouillard","Nebel","nebbia","niebla","mist,nevel","nebulo","dimma","caligo,nebula"
"noun","162","sky","ciel","Himmel","cielo","cielo","lucht","aero","himmel","caelum"
"noun","163","wind","vent","Wind","vento","viento","wind","vento","vind","ventus"
"noun","164","snow","neige","Schnee","neve","nieve","sneeuw","nego","snö","nix"
"noun","165","ice","glace","Eis","ghiaccio","hielo","ijs","glacio","is","glacies"
"noun","166","smoke","fumée","Rauch","fumo","humo","rook","fumo","rök","fumus"
"noun","167","fire","feu","Feuer","fuoco","fuego","vuur","fajro","eld","ignis"
"noun","168","ashes","cendres","Asche","ceneri","cenizas","as","cindro","aska","cineres"
"verb","169","burn","brûler","brennen","bruciare","quemar","branden","bruli","brinna","ardere"
"noun","170","road","route","Straße","strada","camino","weg","vojo","väg","via"
"noun","171","mountain","montagne","Berg","montagna","montaña","berg","monto","berg","mons"
"noun","172","red","rouge","rot","rosso","rojo","rood","ruga","röd","ruber"
"noun","173","green","vert","grün","verde","verde","groen","verda","grön","viridis"
"noun","174","yellow","jaune","gelb","giallo","amarillo","geel","flava","gul","flavus"
"noun","175","white","blanc","weiß","bianco","blanco","wit","blanka","vit","albus,candidus"
"noun","176","black","noir","schwarz","nero","negro","zwart","nigra","svart","niger,ater,fuscus"
"noun","177","night","nuit","Nacht","notte","noche","nacht","nokto","natt","nox"
"noun","178","day","jour","Tag","giorno","día","dag","tago","dag","dies"
"noun","179","year","an,année","Jahr","anno","año","jaar","jaro","år","annus"
"adjective","180","warm","chaud","warm","caldo","cálido","warm","varma","varm","calidus"
"adjective","181","cold","froid","kalt","freddo","frío","koud","malvarma","kall","frigidus"
"adjective","182","full","plein","voll","pieno","lleno","vol","plena","full","plenus"
"adjective","183","new","nouveau","neu","nuovo","nuevo","nieuw","nova","ny","novus"
"adjective","184","old","vieux","alt","vecchio","viejo","oud","maljuna","gammal","vetus"
"adjective","185","good","bon","gut","buono","bueno","goed","bona","bra","bonus"
"adjective","186","bad","mauvais","schlecht","cattivo","malo","slecht","malbona","dålig","malus"
"adjective","187","rotten","pourri","verrottet","marcio","podrido","rot","putra","rutten","puter, putridus"
"adjective","188","dirty","sale","schmutzig","sporco","sucio","vuil","malpura","smutsig","sordidus"
"adjective","189","straight","droit","gerade","diritto","recto","recht","rekta","rak","rectus"
"adjective","190","round","rond","rund","rotondo","redondo","rond","ronda","rund","rotundus"
"adjective","191","sharp","tranchant,pointu","scharf","aguzzo,affilato","agudo,afilado","scherp","akra,akuta","vass","acer"
"adjective","192","dull","émoussé","stumpf","noioso","romo","stomp,bot","malakra","slö","hebes"
"adjective","193","smooth","lisse","glatt","liscio","suave","glad","glata","len,slät","levis"
"adjective","194","wet","mouillé","nass,feucht","bagnato","mojado","nat","malseka","våt,blöt","umidus"
"adjective","195","dry","sec","trocken","asciutto,secco","seco","droog","seka","torr","siccus"
"adjective","196","correct","juste,correct","richtig","corretto","correcto","juist,correct","korekta","rätt,riktig","rectus"
"adjective","197","near","proche","nah(e)","vicino","cerca","dichtbij","apud,proksime","nära","propinquus"
"adjective","198","far","loin","weit,fern","lontano","lejos","ver","malproksime","långt bort,fjärran","longinquus"
"part","199","right","à droite","rechts","destra","derecha","rechts","dekstra","höger","dexter"
"part","200","left","à gauche","links","sinistra","izquierda","links","maldekstra","vänster","sinister"
"part","201","at","à","bei,an","a","a,en","aan,te,bij, etc.","al","hos,vid","ad"
"part","202","in","dans","in","in","en","in","en","i","in"
"part","203","with","avec","mit","con","con","met","kun","med","cum"
"conjunction","204","and","et","und","e","y","en","kaj","och","et"
"part","205","if","si","wenn,falls,ob","se","si","als,indien","se","om","si"
"part","206","because","parce que","weil","perché","porque","omdat","car","eftersom,ty","quia,quoniam"
"noun","207","name","nom","Name","nome","nombre","naam","nomo","namn","nomen"
