"#TYPE","Swadesh_number","ENG","HNG","FIN","EST"
"verb","95","suck","szopni","imeä"
"verb","96","spit","köpni","sylkäistä"
"verb","97","vomit","hányni","oksentaa"
"verb","98","blow","fújni","puhaltaa"
"verb","99","breathe","lélegezni","hengittää"
"verb","100","laugh","nevetni","nauraa"
"verb","101","see","látni","nähdä"
"verb","102","hear","hallani","kuulla"
"verb","103","know","tudni","tietää"
"verb","104","think","gondol(koz)ni","ajatella"
"verb","105","smell","szagolni","haistaa"
"verb","106","fear","félni","pelätä"
"verb","107","sleep","aludni","nukkua"
"verb","108","live","élni","elää"
"verb","109","die","(meg)","kuolla"
"verb","110","kill","(meg)","tappaa"
"verb","111","fight","harcolni","taistella"
"verb","112","hunt","vadászni","metsästää"
"verb","113","hit","ütni","lyödä"
"verb","114","cut","vágni","leikata"
"verb","115","split",,"halkaista"
"verb","116","stab","szúrni"
"verb","117","scratch","vakarni","raapia"
"verb","118","dig","ásni","kaivaa"
"verb","119","swim","úszni","uida"
"verb","120","fly","repülni","lentää"
"verb","121","walk","sétálni","kävellä"
"verb","122","come","jönni","tulla"
"verb","123","lie","feküdni","maata"
"verb","124","sit","ülni","istua"
"verb","125","stand","állni","seistä"
"verb","126","turn","fordulni","kääntyä"
"verb","127","fall","esni","pudota"
"verb","128","give","adni","antaa"
"verb","129","hold","fogni","pitää"
"verb","130","squeeze","szorítani","puristaa"
"verb","131","rub","dörzsölni","hieroa"
"verb","132","wash","mosni","pestä"
"verb","133","wipe","törölni","pyyhkiä"
"verb","134","pull","húzni","vetää"
"verb","135","push","tolni","työntää"
"verb","136","throw","dobni","heittää"
"verb","137","tie","kötni","solmia"
"verb","138","sew","varrni","neuloa"
"verb","139","count","számolni","laskea"
"verb","140","say","mondani","sanoa"
"verb","141","sing","énekelni","laulaa"
"verb","142","play","játszani","leikkiä"
"verb","143","float","lebegni,úszni","kellua"
"verb","144","flow","folyni","virrata"
"verb","145","freeze","fagyni","jäätyä"
"verb","146","swell","dagadni,duzzadni","paisua"
"noun","147","sun","nap","aurinko"
"noun","148","moon","hold","kuu"
"noun","149","star","csillag","tähti"
"noun","150","water","víy","vesi"
"noun","151","rain","eső","sataa"
"noun","152","river","folyó","joki"
"noun","153","lake","tó","järvi"
"noun","154","sea","tenger","meri"
"noun","155","salt","só","suola"
"noun","156","stone","kő","kivi"
"noun","157","sand","homok","hiekka"
"noun","158","dust","por","pöly"
"noun","159","earth","föld","maa"
"noun","160","cloud","felhő","pilvi"
"noun","161","fog","köd","sumu"
"noun","162","sky","ég","taivas"
"noun","163","wind","szél","tuuli"
"noun","164","snow","hó","lumi"
"noun","165","ice","jég","jää"
"noun","166","smoke","füst","savu"
"noun","167","fire","tűz","tuli"
"noun","168","ashes","hamu","tuhkat"
"verb","169","burn","égni","palaa"
"noun","170","road","út","tie"
"noun","171","mountain","hegy","vuori"
"noun","172","red","piros","punainen"
"noun","173","green","zöld","vihreä"
"noun","174","yellow","sárga","keltainen"
"noun","175","white","fehér","valkoinen"
"noun","176","black","fekete","musta"
"noun","177","night","éjszaka","yö"
"noun","178","day","nappal","päivä"
"noun","179","year","év","vuosi"
"adjective","180","warm","meleg","lämmin"
"adjective","181","cold","hideg","kylmä"
"adjective","182","full","tele","täysi"
"adjective","183","new","új","uusi"
"adjective","184","old","régi,öreg,ó,ős","vanha"
"adjective","185","good","jó","hyvä"
"adjective","186","bad","rossz","paha"
"adjective","187","rotten, a log)</small>","korhadt","laho,mätä"
"adjective","188","dirty","koszos,piszkos","likainen"
"adjective","189","straight","egyenes","suora"
"adjective","190","round","kerek","pyöreä"
"adjective","191","sharp","éles","terävä"
"adjective","192","dull","tompa","tylppä"
"adjective","193","smooth","sima","sileä"
"adjective","194","wet","nedves","märkä"
"adjective","195","dry","száraz","kuiva"
"adjective","196","right","helyes","kuiva"
"adjective","197","near","közel","lähellä"
"adjective","198","far","messze","kaukana"
"part","199","right","jobb","oikea"
"part","200","left","bal","vasen"
"part","201","at","-nál","-lla"
"part","202","in","-ban","-ssa"
"part","203","with","-val","kanssa"
"conjunction","204","and","és","ja"
"part","205","if","ha","jos"
"part","206","because","mert","koska"
"noun","207","name","név","nimi"
