"#TYPE","Swadesh_number","ENG","CLN","INR","POR","RUM","Lengadocian Occitan","Gascon Occitan"
"noun","71","hair","pèl","pilo","pelo","păr","pel","peu"
"noun","72","head","cap","capite,testa","cabeça","cap","cap","cap"
"noun","73","ear","orella","auricula","orelha","ureche","aurelha","aurelha"
"noun","74","eye","ull","oculo","olho","ochi","uèlh","uelh"
"noun","75","nose","nas","naso","nariz","nas","nas","nas"
"noun","76","mouth","boca","bucca,ore","boca","gură","boca","boca"
"noun","77","tooth","dent","dente","dente","dinte","dent","dent"
"noun","78","tongue","llengua","lingua","língua","limbă","lenga","lengua"
"noun","79","fingernail","ungla","ungula","unha","unghie","ongla","ungla"
"noun","80","foot","peu","pede","pé","laba piciorului","pè","pè"
"noun","81","leg","cama","gamba","perna","picior","camba","cama"
"noun","82","knee","genoll","geniculo,genu","joelho","genunchi","genolh","jolh"
"noun","83","hand","ma","mano","mão","mână","man","man"
"noun","84","wing","ala","ala","asa","aripă","ala","ala"
"noun","85","belly","panxa","ventre","barriga,ventre","burtă","ventre","vente"
"noun","86","guts","budells","tripas","tripas,entranhas","maţe,măruntaie","tripa","tripa, budèth"
"noun","87","neck","coll","collo","pescoço,colo","gât","còl","còth"
"noun","88","back","esquena","dorso","costas,dorso","spate,spinare","esquina","arrea, esquia"
"noun","89","breast","pit","pectore","peito","piept","pièch","pieit"
"noun","90","heart","cor","corde","coração","inimă","còr","còr"
"noun","91","liver","fetge","ficato,hepate","fígado","ficat","fetge","hitge"
"verb","92","drink","beure","biber","beber","a bea","beure","béver"
"verb","93","eat","menjar","mangiar,manducar,eder","comer","a mânca","manjar","minjar"
"verb","94","bite","mossegar","morder","morder","a muşca","mòrdre","mòrder"
"verb","95","suck","xuclar,llepar","suger","sugar,chupar","a suge","chucar","chucar"
"verb","96","spit","escopir","sputar","cuspir","a scuipa","escopir","escupir"
"verb","97","vomit","vomitar","vomir,vomitar","vomitar","a vomita","vomir","vomir"
"verb","98","blow","bufar","sufflar","soprar","a sufla","bofar","bohar"
"verb","99","breathe","respirar","respirar","respirar","a respira","respirar","alenar"
"verb","100","laugh","riure","rider","rir","a râde","rire","arríder"
"verb","101","see","veure","vider","ver","a vedea","veire","véder"
"verb","102","hear","escoltar","audir","ouvir","a auzi","ausir","enténer"
"verb","103","know","saber","saper","saber","a şti","saber","saber"
"verb","104","think","pensar","pensar","pensar","a gândi","soscar","pensar"
"verb","105","smell","olorar","oler","cheirar","a mirosi","sentir a","aulorar"
"verb","106","fear","témer","timer","temer","a se teme","crénher","crénher"
"verb","107","sleep","dormir","dormir","dormir","a dormi","dormir","dormir"
"verb","108","live","viure","viver","viver","a trăi","viure","víver"
"verb","109","die","morir","morir","morrer","a muri","morir","morí's"
"verb","110","kill","matar","occider","matar","a ucide,a omorî","tuar","tuar"
"verb","111","fight","lluitar","luctar","lutar","a lupta","se batre","bate's"
"verb","112","hunt","caçar","chassar","caçar","a vâna","caçar","caçar"
"verb","113","hit","colpejar,picar","colpar,batter","bater","a bate,a lovi","trucar, tustar","trucar, tustar"
"verb","114","cut","tallar","secar,taliar","cortar","a tăia","talhar","talhar"
"verb","115","split","partir,dividir","finder","fender,rachar","a frânge,a despica,a rupe,a spinteca","partir, se dividir","partir, dividí's"
"verb","116","stab","apunyalar","dagar,pugnalar","esfaquear,apunhalar","a înjunghia","estocar,escanar","estocar,escanar"
"verb","117","scratch","gratar,rascar,esgarrapar","grattar,rader","arranhar,raspar","a zgâria","rascar,gratar","arrascar,gratar"
"verb","118","dig","cavar,excavar","foder,fossar,excavar","cavar,excavar","a săpa,a excava","cavar","cavar"
"verb","119","swim","nedar","natar","nadar","a înota","nadar","nadar"
"verb","120","fly","volar","volar","voar","a zbura","volar","volar"
"verb","121","walk","caminar","ambular,camminar","andar,caminhar","a merge,a umbla,a se plimba","anar, caminar","anar, marchar"
"verb","122","come","venir","venir","vir","a veni","venir","viéner"
"verb","123","lie","jeure","cubar,jacer","estar,jazer","a sta întins","jaire"
"verb","124","sit","seure","seder,esser","sentar,estar","a sta jos,a şedea","se sèire","sede's"
"verb","125","stand","estar dret","star","estar,estar","a sta,a sta în picioare","estar drech(a)","estar dret(a)"
"verb","126","turn","girar","tornar,girar","virar,girar","a se întoarce","virar","virar, arrodar"
"verb","127","fall","caure","cader","cair","a cădea","caire, tombar","càder"
"verb","128","give","donar","dar","dar","a da","bailar","dar"
"verb","129","hold","aguantar,sostenir","tener","segurar","a ţine","tenir","tiéner"
"verb","130","squeeze","apretar","premer,comprimer","apertar,comprimir","a presa,a strânge,a comprima","pressar","prémer"
"verb","131","rub","fregar","fricar,frictionar","esfregar,friccionar","a freca,a fricţiona","fretar","fretar"
"verb","132","wash","rentar,netejar","lavar","lavar","a spăla","lavar","lavar"
"verb","133","wipe","eixugar","essugar","enxugar","a şterge","eissugar","eishugar, boishar"
"verb","134","pull","tirar","tirar,traher","puxar","a trage","tirar","tirar, tréger"
"verb","135","push","empènyer","pulsar","empurrar","a împinge","butar","possar, honhar"
"verb","136","throw","llançar,llençar","jectar,lancear","jogar,atirar,lançar","a arunca","lançar","arronçar"
"verb","137","tie","lligar","ligar","amarrar","a lega","estacar","estacar"
"verb","138","sew","cosir","suer","costurar","a coase","coire","cóser"
"verb","139","count","comptar","contar","contar","a număra","comptar","condar"
"verb","140","say","dir","dicer","dizer","a zice,a spune","dire","díser"
"verb","141","sing","cantar","cantar","cantar","a cânta","cantar","cantar"
"verb","142","play","jugar","jocar","jogar,brincar","a juca","jogar","jogar"
"verb","143","float","flotar","flottar","flutuar,boiar","a pluti","flotar","flotar"
"verb","144","flow","fluir","fluer","fluir","a curge","rajar","arrajar"
"verb","145","freeze","gelar,congelar","gelar","gelar,congelar,refrigerar","a îngheţa","gelar","torrar"
"verb","146","swell","inflar","tumer,intumescer,inflar","inchar,intumescer","a se inflama,a se umfla","coflar","aholar"
"noun","147","sun","sol","sol","sol","soare","solelh","só, sorelh"
"noun","148","moon","lluna","luna","lua","lună","luna","lua"
"noun","149","star","estel,estrella","stella","estrela","stea","estela","estela"
"noun","150","water","aigua","aqua","água","apă","aiga","aiga"
"noun","151","rain","pluja","pluvia","chuva","ploaie","pluèja","ploja"
"noun","152","river","riu","fluvio","rio","râu,fluviu","riu","arriu"
"noun","153","lake","llac","laco","lago","lac","lac","lac","lac"
"noun","154","sea","mar","mar","mar","mare","mar","mar"
"noun","155","salt","sal","sal","sal","sare","sal","sau"
"noun","156","stone","pedra","petra","pedra","piatră","pèira","pèira"
"noun","157","sand","sorra","arena,sablo","areia","nisip","sabla","sabla"
"noun","158","dust","pols","pulvere","pó","praf,pulbere","polvèra","prova"
"noun","159","earth","terra","terra","terra","pământ","tèrra","tèrra"
"noun","160","cloud","núvol","nube","nuvem","nor","níbol","crum"
"noun","161","fog","boira","bruma,nebula","neblina,névoa,nevoeiro,bruma","ceaţă","brolhard","bruma"
"noun","162","sky","cel","celo","céu","cer","cèl","cèu"
"noun","163","wind","vent","vento","vento","vânt","vent","vent"
"noun","164","snow","neu","nive","neve","zăpadă,nea","nèu","nèu"
"noun","165","ice","gel,glaç","glacie","gelo","gheaţă","glaç","glaç"
"noun","166","smoke","fum","fumo","fumaça","fum","fum","hum"
"noun","167","fire","foc","foco,igne","fogo","foc","fuòc","huec"
"noun","168","ashes","cendres","cineres","cinzas","cenuşă,scrum","cendre","brasa"
"verb","169","burn","cremar","arder","queimar,arder","a arde","cremar","bruslar"
"noun","170","road","carretera","strata","estrada","drum,cale,stradă","camin","camin, arrota"
"noun","171","mountain","muntanya","montania","montanha","munte","montanha","montanha"
"noun","172","red","vermell,roig","rubie,rubide,rubre","vermelho,rubro","roşu","roge, ja","arroge, ja"
"noun","173","green","verd","verde","verde","verde","verd, a","verd, a"
"noun","174","yellow","groc","jalne","amarelo","galben","jaune, a","jaune, a"
"noun","175","white","blanc","blanc","branco","alb","blanc, a","blanc, a"
"noun","176","black","negre","nigre","preto,negro","negru","negre, a","negre, a"
"noun","177","night","nit","nocte","noite","noapte","nuèch","nueit"
"noun","178","day","dia","die","dia","zi","jorn","jorn, dia"
"noun","179","year","any","anno","ano","an","an","an"
"adjective","180","warm","càlid","calide","quente,cálido","cald,fierbinte","caud, a","caud, a"
"adjective","181","cold","fred","frigide","frio,frígido","rece,frig","freg, ja","fred, a"
"adjective","182","full","ple","plen,complete","cheio,pleno,completo","plin","plen, a","plen, plea"
"adjective","183","new","nou","nove","novo","nou","nò, va","<a href=\"/w/index.php?title=Nau%2C_va&amp;action=edit\" class=\"new\" title=\"Nau, va\">nau, va"
"adjective","184","old","vell","vetule,vetere","velho","vechi","vièlh, a","vielh, a"
"adjective","185","good","bo","bon","bom","bun","bon, a","bon, a"
"adjective","186","bad","dolent","mal","mau","rău,prost","marrit, da","maishant, a"
"adjective","187","rotten","podrit","corrupte","estragado","putred,stricat,corupt","poirit, da","poirit, da"
"adjective","188","dirty","brut","immunde","sujo,imundo","murdar","lord, a","lord, a"
"adjective","189","straight","recte","recte","reto","drept","drech, a","dret, a"
"adjective","190","round","rodó","rotunde,ronde","redondo","rotund","redond, a","ardon, a"
"adjective","191","sharp","esmolat,agut","affilate","afiado,aguçado","ascuţit","agusat, da","ahilat, da"
"adjective","192","dull","rom","obtuse","cego,embotado,rombo,rombudo","bont","esmoishoat, da"
"adjective","193","smooth","llis,suau","lisie","liso","neted","doç, a","doç, a"
"adjective","194","wet","humit,mullat","humide,molliate","úmido,molhado","umed","trempe, a","molhat, da"
"adjective","195","dry","sec","sic","seco","uscat","sec, a","sec, a"
"adjective","196","correct","correcte","correcte","correto","corect","corrècte, a","corrècte, a"
"adjective","197","near","prop,a prop","proxime,vicin,presso","próximo","lângă,apropiat","prèp","pròche"
"adjective","198","far","lluny","distante","distante","departe","luènh","luenh"
"part","199","right","dreta","dextere","direito","drept","drecha","dreta"
"part","200","left","esquerra","sinistre","esquerdo","stâng","esquèrra","esquèrra"
"part","201","at","a","a,in","a,em","la,în","a","a(d)"
"part","202","in","a","in","em","în","dins, en","dens, en"
"part","203","with","amb","con","com","cu","amb(e)","dab"
"conjunction","204","and","i","e","e","şi","e","e"
"part","205","if","si","si","se","dacă","se","se"
"part","206","because","perquè","proque","porque","pentru că","perque","pr'amor que"
"noun","207","name","nom","nomine","nome","nume","nom","nom"
