"#TYPE","Swadesh_number","ENG","SXN","ICE"
"verb","101","see","sehn","sjá"
"verb","102","hear","höörn","heyra"
"verb","103","know","weten","vita"
"verb","104","think","denken","hugsa"
"verb","105","smell","rüken","lykta"
"verb","106","fear","Angst ham","hræðsla"
"verb","107","sleep","slapen","sofa"
"verb","108","live","leven","lifa"
"verb","109","die","dootblieven","deyja"
"verb","110","kill","dootmaken","drepa"
"verb","111","fight","strieden","rifast"
"verb","112","hunt","jagen","veiða"
"verb","113","hit","slaan","berja"
"verb","114","cut","snieden","skera"
"verb","115","split","delen","klofna"
"verb","116","stab","steken","stinga"
"verb","117","scratch","kleien","klóra"
"verb","118","dig","buddeln","grafa"
"verb","119","swim","swömmen","synda"
"verb","120","fly","flegen","fljúga"
"verb","121","walk","gahn","ganga"
"verb","122","come","kamen","koma"
"verb","123","lie","liggen","liggja"
"verb","124","sit","sitten","sitja"
"verb","125","stand","stahn","standa"
"verb","126","turn","dreihen","snúa"
"verb","127","fall","fallen","falla"
"verb","128","give","geven","gefa"
"verb","129","hold","holen","halda"
"verb","130","squeeze","drücken","þrýsta"
"verb","131","rub","rieven","núa"
"verb","132","wash","waschen","þvo"
"verb","133","wipe","wischen","núa"
"verb","134","pull","trecken","toga"
"verb","135","push","drücken","ýta"
"verb","136","throw","smieten","verpa"
"verb","137","tie","binnen","binda"
"verb","138","sew","neihen","sauma"
"verb","139","count","tellen","telja"
"verb","140","say","seggen","segja"
"verb","141","sing","singen","syngja"
"verb","142","play","spelen","leika"
"verb","143","float","sweven","fljóta"
"verb","144","flow","fleten","streyma"
"verb","145","freeze","freern","frjósa"
"verb","146","swell","swellen","þrútna"
"noun","147","sun","Sünn","sól"
"noun","148","moon","Maan","tungl"
"noun","149","star","Steern","stjarna"
"noun","150","water","Water","vatn"
"noun","151","rain","regen","rigna"
"noun","152","river",,"á"
"noun","153","lake","See","vatn"
"noun","154","sea","See","sjór"
"noun","155","salt","Solt","salt"
"noun","156","stone","Steen","steinn"
"noun","157","sand","Sand","sandur"
"noun","158","dust","Stoof","ryk"
"noun","159","earth","Eer","jörð"
"noun","160","cloud","Wulk","ský"
"noun","161","fog","Daak","þoka"
"noun","162","sky","Heven","himinn"
"noun","163","wind","Wind","vindur"
"noun","164","snow","Snee","snjór"
"noun","165","ice","Ies","ís"
"noun","166","smoke","Rook","reykur"
"noun","167","fire","Füür","eldur"
"noun","168","ashes","Asch","aska"
"verb","169","burn","brennen","brenna"
"noun","170","road","Straat","gata"
"noun","171","mountain","Barg","fjall"
"noun","172","red","root","rauður"
"noun","173","green","gröön","grænn"
"noun","174","yellow","geel","gulur"
"noun","175","white","witt","hvítur"
"noun","176","black","swatt","svartur"
"noun","177","night","Nacht","nótt"
"noun","178","day","Dag","dagur"
"noun","179","year","Johr","ár"
"adjective","180","warm","warm","hlýr"
"adjective","181","cold","koolt","kaldur"
"adjective","182","full","vull","fullur"
"adjective","183","new","nee","nýr"
"adjective","184","old","oolt","gamall"
"adjective","185","good","goot","góður"
"adjective","186","bad","slecht","vondur"
"adjective","187","rotten, a log)</small>","rott","fúinn"
"adjective","188","dirty","schietig","skítugur"
"adjective","189","straight","graad","beinn"
"adjective","190","round","rund","kringlóttur"
"adjective","191","sharp","scharp","hvass"
"adjective","192","dull","stuuv"
"adjective","193","smooth","week","sleipur"
"adjective","194","wet","natt","blautur"
"adjective","195","dry","dröög","þurr"
"adjective","196","right","richtig","leiðrétta"
"adjective","197","near","dicht bi","nálægur"
"adjective","198","far","wiet weg","langt"
"part","199","right","rechts","hægra megin"
"part","200","left","links","vinstra megin"
"part","201","at","bi","hjá"
"part","202","in","in","í"
"part","203","with","mit","með"
"conjunction","204","and","un","og"
"part","205","if","wenn","ef"
"part","206","because","wiel dat","því"
"noun","207","name","Naam","nafn"
